Title,URL,Product,Items Available,Final Price,Date closed,Seller name,Seller page,Description
I phone 6 64gig,https://www.bidorbuy.co.za/item/309227402/I_phone_6_64gig.html,"
  ,  iPhone 6  64GB  iOS",1,"R2,900.,R4,000.",10/19/2017,BraJan3068,https://www.bidorbuy.co.za/seller/3660940/BraJan3068,"
	,	
	  Phone 3 months old with box and all accessories, urgent sale req as I'm selling for someone else. Thanks,
  ,
,    
"
,,,,,,,,
Apple iphone 6 PLUS,https://www.bidorbuy.co.za/item/307790118/Apple_iphone_6_PLUS.html,"
  ,  iPhone 6 Plus  16GB  iOS",1,"R2,600.,R4,499.",10/19/2017,zah_Cell,https://www.bidorbuy.co.za/seller/2590795/zah_Cell,"
	,	
	  , ,Apple iphone 6+ 16GB White for sale. Phone is in a good condition, with signs of usage. The price has been reduced due to the phone having a cracked screen. The phone does turn on however the screen is blank. All functions worked prior to the phone LCD being cracked. With a new LCD, the phone may work 100%, or may have other issues. There is no icloud linked to the phone, so once repaired should be 100% functional., ,Selling this phone as-is, for spares or repairs only!!, ,No icloud lock.,  , Auction includes Phone only, ,R80 SHIPPING ON Normal MAIL, R140 FOR SPEED SERVICES and R200 door to door (Via SAPO).,Please add 4% for insurance if required., ,PAYMENT MUST BE MADE WITHIN 24 HOURS AFTER THE END OF THE AUCTION., ,Should you have any problems after receiving the phone, please contact us and well try our best to help. The phone is in a good condition and you will get exactly what is described, so there shouldn't be any issues, , ,
  ,
,    
"
,,,,,,,,
iPhone 7 32GB Matt Black {Good Condition! - 8.5/10} (6 Month Warranty),https://www.bidorbuy.co.za/item/308660946/iPhone_7_32GB_Matt_Black_Good_Condition_8_5_10_6_Month_Warranty.html,"
  ,  iPhone 7  32GB  iOS",1,"R6,599.",10/19/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,:, Has a tempered glass screen protector attached and looks fantastic! {9.5/10}, ,Frame,:, Has some noticeable denting on the top left corner of the device (see photos) {8.5/10}., ,Back Casing,:, Has one or two areas that seem very polished, but overall, no major scratches or dents {9/10}., ,Functions,:, All system functions are working 100% on this device. , ,Special Mention,:, A really high quality Apple device, at an unbelieveable price tag!, ,Accessories,:, This device comes in the original box with the original wall charger and earphones. The USB cable was missing so we've included a generic lightning cable. , ,Justin - ,""Best Service found on Bid or Buy! Keep up the great work Andrew..."", , ,Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). ,
  ,
,    
"
,,,,,,,,
iPhone 6 16GB Space Gray {9/10} (6 Month Warranty),https://www.bidorbuy.co.za/item/309145464/iPhone_6_16GB_Space_Gray_9_10_6_Month_Warranty.html,"
  ,  iPhone 6  16GB  iOS",1,"R3,799.",10/19/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,:, Looks great with only minor scratches visible upon close inspection. {9/10} , ,Frame,:, Also looks really good. There is one noticeable dent on the top left corner that we would give special attention to (see photos). {8.5/10}, ,Back Casing,:, Looks fantastic! Only minor scratches visible upon close inspection. {9.5/10}, ,Functions,:, All system functions are working 100% on this device. , ,Special Mention,:, This is a really fantastic well looked after device that we're proud to recommend at a price lower than anywhere else! We'd call that an Epic Deal!, ,Accessories,:, This device comes in an iPhone 6 box (not original) with a high quality generic charger and USB cable. , ,Dhiren - ,""Very happy !!! Thank you !!!!! :-)"", , ,Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). , ,Like all our devices, this iPhone is not icloud locked!,*Your iPhone comes with a 6 month warranty (excluding general wear and tear)*,Have peace of mind when buying from Epic Deals,In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. The warranty begins the day you receive your device.,Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre.,
  ,
,    
"
,,,,,,,,
iPhone 6S Rose Gold 64gb,https://www.bidorbuy.co.za/item/309134586/iPhone_6S_Rose_Gold_64gb.html,"
  ,  iPhone 6s  64GB  iOS  4.5 to 4.9 Inches  12 Megapixels or more",1,"R6,800.",10/19/2017,DT Tech,https://www.bidorbuy.co.za/seller/2786185/DT_Tech,"
	,	
	  ,In 9 out of 10 condition,Includes all accessories. Has 3D full coverage tempered glass in the front and TPU cover in the back. Phone is open to all networks.,Technology, ,GSM / CDMA / HSPA / EVDO / LTE, ,          ,   , , ,Launch, ,Announced, ,2015, September, , , ,Status, ,Available. Released 2015, September, , ,   , , ,Body, ,Dimensions, ,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in), , ,Weight, ,143 g (5.04 oz), , , ,SIM, ,Nano-SIM, , , ,- Apple Pay (Visa, MasterCard, AMEX certified),  ,   , , ,Display, ,Type, ,LED-backlit IPS LCD, capacitive touchscreen, 16M colors, , , ,Size, ,4.7 inches, 60.9 cm,2, (~65.6% screen-to-body ratio), , , ,Resolution, ,750 x 1334 pixels, 16:9 ratio (~326 ppi density), , , ,Multitouch, ,Yes, , , ,Protection, ,Ion-strengthened glass, oleophobic coating, , , ,- 3D Touch display,  ,   , , ,Platform, ,OS, ,iOS 9, upgradable to iOS 11.0.2, , ,Chipset, ,Apple A9, , ,CPU, ,Dual-core 1.84 GHz Twister, , ,GPU, ,PowerVR GT7600 (six-core graphics), , ,     ,Memory, ,Card slot,   ,No,
  ,
,    
"
,,,,,,,,
