Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
Dell Latitude E7250 Ultrabook  - Core i5 | 5th Gen | 8GB Ram | 256GB SSD | 4G | Mint | Warranty 2019,https://www.bidorbuy.co.za/item/309706455/Dell_Latitude_E7250_Ultrabook_Core_i5_5th_Gen_8GB_Ram_256GB_SSD_4G_Mint_Warranty_2019.html,"Dell † 12"" † 256GB †8GB Ram †2.3Ghz † Integrated",1,"R5,299.",,10/30/2017,Tanyab44,https://www.bidorbuy.co.za/seller/2998763/Tanyab44,"
	,	
	  ,Dell Latitude E7250 Ultrabook : Mint New Condition 9.8/10 Warranty until Nov 2019 - Mouse bad slightly stiff but works fine.,†,Hard Drive Capacity,256GB SSD,Operating System,Win 10 64bit,Processor Speed,2.3 GHZ,Processor Model,Intel i5 5th Gen,System Memory (RAM),8GB,Networking,Wireless | Ethernet | 4G,Screen Size & Graphics,12 "" | Intel HD | Backlit Keyboard,
  ,
,    
"
,,,,,,,,,
"18.5"" Samsung (1366x768) HD Widescreen LED Display (BARGAIN!!!)",https://www.bidorbuy.co.za/item/310420311/18_5_Samsung_1366x768_HD_Widescreen_LED_Display_BARGAIN.html,"Samsung † 18.5"" † LED † 1366x768 †",1,R435.,R435.00 † 29†Oct†23:40 †,10/29/2017,polishednail,https://www.bidorbuy.co.za/seller/3224099/polishednail,"
	,	
	  ,†SAMSUNG S19B300,Monitor Type: LED,Screen Size: 18.5,Resolution: 1366x768,Colour support: 16.7 Million colours,Contrast Ratio: 10000:1,Pixel density: 82ppi,Connection type: VGA†,Power Consumption: 20 Watt,+,Power addatper†,Item is working perfectly and is very neat.,(POWER CABLE AND VGA CABLE INCLUDED),
  ,
,    
"
,,,,,,,,,
"MONSTER i7 HP EliteBook @ 2.70ghz, 500gb HHD, 4gb ram, 3G ,DVD , 12.5"" HD Display, Windows 10!!!",https://www.bidorbuy.co.za/item/310420612/MONSTER_i7_HP_EliteBook_2_70ghz_500gb_HHD_4gb_ram_3G_DVD_12_5_HD_Display_Windows_10.html,"HP † 12.5"" † 500GB †4GB Ram †2.70Ghz †",1,"R3,150.","R3,150.00 † 29†Oct†23:27 †",10/29/2017,polishednail,https://www.bidorbuy.co.za/seller/3224099/polishednail,"
	,	
	  ,HP ELITEBOOK 2560p,Great Value with HP strength and reliability you can trust!!!,Intel Core i7 2620M @ 2.70Ghz (Turbo boost=3.40Ghz)†,4gb Ram†,500gb Hard drive,Built in 3G (just insert sim),DVD Rom/Rw†,12.5"" HD LED Display (anti-glare) ,Intel HD 3000 Graphics,keyboard light,Aluminum Body,Webcam†,HD Audio†,WiFi†,Bluetooth†,Fingerprint Scanner,Card Reader†,3x USB Ports,VGA port†,Display port†,Headphone output†,Ethernet port†,†EXTENDED Battery†,Charger ,Windows 10 Pro 64bit,†,†ITEM IS 100% FULLY FUNCTIONAL . IT HAS BEEN VERY WELL TAKEN CARE OFF, I WOULD RATE IT'S CONDITION A 7.5/10!!,†,†,
  ,
,    
"
,,,,,,,,,
DELL INSPIRON 3567 - Intel(R) Core(TM) i7-7500U - 8 GiG Ram - 1TB - AMD Radeon R5 M430 (2GB),https://www.bidorbuy.co.za/item/310463840/DELL_INSPIRON_3567_Intel_R_Core_TM_i7_7500U_8_GiG_Ram_1TB_AMD_Radeon_R5_M430_2GB.html,"Dell † 15.6"" † 1TB †8GB Ram †3.5Ghz † Dedicated",1,"R6,000.","R6,000.00 † 29†Oct†21:33 †",10/29/2017,Eazybob,https://www.bidorbuy.co.za/seller/3098781/Eazybob,"
	,	
	  ,†SERIOUS BUYERS ONLY,AUCTION MUST BE PAID 24 HOURS AFTER BID CLOSED,SHIPPING ON THIS ITEM IS R350,DELL INSPIRON 3567,- Intel(R) Core(TM) i7-7500U CPU @ 3.50GHz,- Memory 8 GiG Ram DDR4L,- Hard Drive 1000GB HDD,- Windows 10 Professional,- MS Office 2013 activated,- AMD,†,Radeon R5 M430 (2GB),†- Backlit Keyboard,- HD Webcam,- DVD Player,- 3 USB inputs,- HDMi,- LAN,- SD Card reader,- Wifi,- Bluetooth,This laptop is in a 9/10 condition,
  ,
,    
"
,,,,,,,,,
laptop 8GB Ram DDR3L 1333 Sodimm Mac,https://www.bidorbuy.co.za/item/310518944/laptop_8GB_Ram_DDR3L_1333_Sodimm_Mac.html,,1,R400.,1 at R400.00† † 29†Oct†22:24 †,10/29/2017,brabra,https://www.bidorbuy.co.za/seller/2820851/brabra,"
	,	
	  ,8 GB †RAM DDR3L FOR LAPTOP†,1333 SODIMM MAC, ,†,Shipping fees R50,†,WE ARE HAPPY TO ANSWER ANY QUESTIONS - PLEASE ASK!,†,†,Do not bid if you do not intent to pay,Shipping and all charges related to it are payable by the buyer,.,The opened day of the post office after the payment is done, t,he tracking number will be forwarded as soon as the item is dispatched,.,†,The payment must be done within 24 hours after winning the bid and no collection is allowed.,
  ,
,    
"
,,,,,,,,,
"6th GEN  LENOVO THINKPAD X260 CORE I5-6300U|2.40GHZ 2.50GHZ|12.5""|8GB RAM|256GB SSD|WIND10 PRO",https://www.bidorbuy.co.za/item/310442846/6th_GEN_LENOVO_THINKPAD_X260_CORE_I5_6300U_2_40GHZ_2_50GHZ_12_5_8GB_RAM_256GB_SSD_WIND10_PRO.html,"Lenovo † 12.5"" † 256GB †8GB Ram †2.40Ghz † Integrated",1,"R5,700.","R5,700.00 † 29†Oct†22:15 †",10/29/2017,shop1traiding,https://www.bidorbuy.co.za/seller/3108188/shop1traiding,"
	,	
	  ,†††††††††††††††††††††††,† 6th GENERATION LENOVO THINKPAD Vpro X260 | 12.5 INCHES |CORE i5-6300U | 2.4O GHZ† 2.50 GHZ† |† 8 GB RAM | 256 GB SSD | INTEL HD GRAPHICS 520 | SD |WEBCAM | | MINI DISPLAY | LAN | DOCK | HEADPHONE / MICROPHONE COMBO JACK | 2 X USB 3:0 | SIM CARD READER | WINDOWS 10 PRO 64-BITS OS | OFFICE 2016 |† CHARGER | EXCELLENT CONDITION 9.5 / 10 | BATTERY VERY GOOD | SHIPPING† : 199 POSTNET COUNTER TO COUNTER | PAYMENT TO BE MADE WITHIN 24 HRS| NO COLLECTION!!!,
  ,
,    
"
,,,,,,,,,
"4TH GEN HP PAVILION TOUCHSMART 15|15.6""|CORE i5-4200U|1.6GHZ 2.30GHZ|8GB RAM|1000GB HDD|WIND10 PRO",https://www.bidorbuy.co.za/item/310418138/4TH_GEN_HP_PAVILION_TOUCHSMART_15_15_6_CORE_i5_4200U_1_6GHZ_2_30GHZ_8GB_RAM_1000GB_HDD_WIND10_PRO.html,"HP † 15.6"" † 1TB †8GB Ram †2.30Ghz †",1,"R3,701.","R3,701.00 † 28†Oct†08:04 †",10/29/2017,shop1traiding,https://www.bidorbuy.co.za/seller/3108188/shop1traiding,"
	,	
	  ,†††††††††††††††††††††††††††† HP PAVILION TOUCHSMART 15 | 15.5 INCHES | CORE i5-4200U | 1.60 GHZ 2.30GHZ | 8GB RAM | 1000 GB HDD | TOUCH SCREEN(1366 X 768 ) | LED SCREEN | DVD RW DRIVE | INTEL HD GRAPHICS 4400 | 2 X USB 3:0 | USB 2:0 | HDMI | LAN | HEADPHONE/MICROPHONE COMBO JACK | WINDOWS 10 PRO OS 64-BITS | OFFICE 2016 |† ORIGINAL CHARGER | GOOD CONDITION | BATTERY GOOD | PAYMENT TO BE MADE WITHIN 24 HRS | SHIPPING : R199 POSTNET COUNTER TO COUNTER |††††††††††††††††††††††††††††††††††† NO COLLECTION ALLOWED!!! † † † † † † † † † † ††, ,
  ,
,    
"
,,,,,,,,,
Lenovo G40-30 Untested laptop up for Grabs  - ****LOW LOW SHIPPING *****,https://www.bidorbuy.co.za/item/310424999/Lenovo_G40_30_Untested_laptop_up_for_Grabs_LOW_LOW_SHIPPING.html,"Lenovo † 14"" † 500GB †2GB Ram †",1,"R550.,R1,800.",R550.00 † 29†Oct†21:08 †,10/29/2017,value4less,https://www.bidorbuy.co.za/seller/3170755/value4less,"
	,	
	  ,†,†,†,†,†,†,†,†,†,†,†,†,DESCRIPTION : READ CAREFULLY .,Lenovo† laptop Model Number is G40-30 .† The laptop has not been tested as i don't have a charger for it† , You are buying the laptop "" AS IS "" As if its not working The laptop back cover was opened to confirm the ram and hard drive , you will see the laptop has not been tampered with further as the OEM Security sticker seal is still intact . see pictures above .Ideal for spares or for a technician to repair .†,†,Actual pictures of the laptop is on this advert†,NB : Its Just the laptop you are bidding for - NO HARD DRIVE , †NO POWER CABLES -†,†Buy it "" AS IS "" or for parts .†,†,SHIPPING DETAILS :,†Combined Shipping allowed†,†,- †,Shipping option 1†,- R90† -†,SAPO - South African post office ( 5 - 15 working days ),- †,Shipping option 2†,†- R99,†-†,Fastway Courier - DOOR TO DOOR, Excluding Rural/Outline area's (1-3 Working days ),- (OPTIONAL ) - Insurance is offered at an additional 3% of the bid price , and will cover the amount you bid .†,- Items will only be dispatched †once payment is received , payment must be made within 2 days .,- Please allow 1 day for dispatch once payment is made , once postage is done I will provide a tracking number.,†,††,OTHER ITEMS CAN BE CHECKED OUT BY CLICKING †""ALL ITEMS "" †UNDER SELLERS DETAILS,† † † † † † † † † ************************************** DO NOT BID IF YOU DON'T INTEND TO PAY ******************************************,†,† † † † † † † † ††,
  ,
,    
"
,,,,,,,,,
